hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
fees of MBA,"Here are the MBA fees for the academic year 2025-26:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹95,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"Here are the fees for the B.Tech-AIML program at ACEM College:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹100,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Please note that hostel and transport fees are separate. Hostel fees are ₹80,000 for AC and ₹65,000 for non-AC, with a refundable security deposit of ₹4,000. Transport fees depend on the location.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate courses in engineering, management, and computer applications. These include B.Tech (CSE, ECE, ME, and CE), BCA, BBA, and MBA programs. The BCA and BBA programs have specializations available as well.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, register yourself, fill the prescribed application form, attach necessary testimonials and six passport size photographs. Submit the form before August 15th each year. Ensure you meet the eligibility criteria for your chosen course.","[0.9, 0.9, 0.9, 0.9]"
fee of AIML,❌ Mistral API error: The read operation timed out,"[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"Here are the fees for the AIML course at ACEM college:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹100,000  |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Hostel and transport fees are separate. For hostel fees, ₹80,000 is for AC and ₹65,000 for non-AC rooms. The security deposit for hostel is ₹4,000. Transport fees depend on the location.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement, providing a minimum of 3 opportunities to each eligible student. The college has an outstanding placement record in Delhi/NCR.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"The admission process involves registering at the Institute, filling out the application form, attaching necessary testimonials and photographs, and submitting it before August 15th each year. Eligibility should be carefully checked before applying.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs including B.Tech in CSE, ECE, ME, and CE; BCA in General and Data Science; BBA in General and Finance Services; and MBA.","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"The Course Fee for B.Tech AIML in the academic year 2025-26 is ₹100,000. University Charges and Security Fee are variable, and there are additional costs for hostel and transportation. Please check the detailed fee structure for more information.","[0.9, 0.9, 0.9, 0.9]"
fees of bca,"Here'sthe fee structure for BCA:

📗Academic Fees:

| SR.NO | FEE HEAD                 | FEE      |
|-------|---------------------------|----------|
| 1.    | Course Fee                | ₹70,000  |
| 2.    | University Charges         | ₹8,500   |
| 3.    | Security Fee (Refundable)  | ₹4,000   |

🏠 Hostel Fee:

| SR.NO | FEE HEAD            | FEE     |
|-------|----------------------|---------|
| 1.    | Hostel Fee AC        | ₹80,000 |
| 2.    | Hostel Fee NON-AC    | ₹65,000 |
| 3.    | Security Fee (Refund) | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD   | FEE             |
|-------|------------|-----------------|
| 1.    | Transport Fee| As per location |","[0.9, 0.9, 0.9, 0.9]"
fees structure of AIML,"Here's the fee structure for AIML:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE     |
|-------|----------------------------------------|---------|
| 1.    | Course Fee                             | ₹1,15,000|
| 2.    | University Charges (Variable)          | ₹8,500  |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000  |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"📗Academic Fees for AIML:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,00,000 |

⚠️Note: University and Security Fees are variable and refundable, respectively. Please contact the admission office for exact amounts.","[0.9, 0.9, 0.9, 0.9]"
Aiml fees,"Here are the fees for the AIML course:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,15,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Hostel and transport fees are separate. Hostel fees are ₹80,000 for AC and ₹65,000 for non-AC, with a refundable security deposit of ₹4,000. Transport fees vary by location.","[0.9, 0.9, 0.9, 0.9]"
you are amazinf,"Thank you for your kind words! I'm here to help you with information about ACEM college admissions, courses, and related topics. Please feel free to ask any questions.","[0.9, 0.9, 0.9, 0.9]"
aiml fees,❌ Mistral API error: The read operation timed out,"[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"Aravali College of Engineering and Management is located in Faridabad, Delhi NCR, India.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement, offering a minimum of 3 opportunities to each eligible student. Our strong industry collaborations and focus on practical learning contribute to our successful placement record.","[0.9, 0.9, 0.9, 0.9]"
fees aiml,"The fees for B.Tech AIML at ACEM college are as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                        | FEE    |
|-------|---------------------------------|--------|
| 1.    | Course Fee                       | ₹1,15,000|
| 2.    | University Charges (Variable)    | ₹8,500 |
| 3.    | Security Fee (Refundable) (Variable) | ₹4,000 |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"Aravali College of Engineering and Management is located in Faridabad, Delhi NCR, India.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate courses in B.Tech (Computer Science, Electronics & Communication, Mechanical, and Civil Engineering), BCA (General and Data Science), BBA (General, Finance Services & Banking, and Digital Marketing), and an MBA program.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"Aravali College of Engineering and Management is located in Faridabad, Delhi NCR.","[0.9, 0.9, 0.9, 0.9]"
location of college,"ACEM is located in Faridabad, Delhi NCR, India. Our lush green campus offers an ideal environment for technical education and research.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement, offering a minimum of 3 opportunities to each eligible student. Our strong industry connections and focus on practical learning ensure a successful career start for our graduates.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Faridabad, Haryana 121102. For directions, visit: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate programs in B.Tech (Computer Science, Electronics & Communication, Mechanical, and Civil Engineering), BCA, BBA, and an MBA program. Additionally, it provides specializations in BCA-Data Science, BBA-Finance Services & Banking, BBA-Digital Marketing, and B.Tech-Artificial Intelligence & Machine Learning.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate programs in B.Tech (Computer Science & Engineering, Electronics & Communication, Mechanical, and Civil Engineering), BCA (General and Data Science), BBA (General and Finance Services & Banking), and postgraduate programs in MBA. The college is known for its strong emphasis on practical learning and industry exposure.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering, computer applications, and business administration. B.Tech branches include Computer Science & Engineering, Electronics & Communication, Mechanical, and Civil Engineering. Additionally, BCA, BBA, and MBA courses are available. Specializations in BCA and BBA include Data Science, Finance Services, and Banking, as well as Digital Marketing.

📗Undergraduate Courses:

| Course                                 | Duration |
|----------------------------------------|----------|
| B.Tech in Computer Science & Engineering  | 4 years   |
| B.Tech in Electronics & Communication    | 4 years   |
| B.Tech in Mechanical Engineering        | 4 years   |
| B.Tech in Civil Engineering             | 4 years   |
| BCA - General                          | 3 years   |
| BCA - Data Science                      | 3 years   |
| BBA - General                          | 3 years   |
| BBA - Finance Services and Banking      | 3 years   |
| BBA - Digital Marketing                | 3 years   |

🎓Postgraduate Course:

| Course                          | Duration |
|---------------------------------|----------|
| Masters in Business Administration| 2 years   |

Confidence: 95%","[0.9, 0.9, 0.9, 0.9]"
what about aiml,"The B.Tech in AIML program at ACEM College offers advanced learning in artificial intelligence, machine learning, deep learning, and related fields. It provides a strong foundation for students to excel in the rapidly evolving tech industry. Apply now to secure your spot in this cutting-edge program.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering and management. The courses include B.Tech in Computer Science, Electronics & Communication, Mechanical, and Civil Engineering; BCA in General and Data Science; BBA in General, Finance Services & Banking, and Digital Marketing; and MBA.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, students must first register themselves and call on +91-8527538785. After registration, fill out the prescribed Admission Application Form, attach necessary testimonials in original and two photocopies along with six passport size photographs. Submit the application form and documents before August 15th each year. Ensure eligibility before applying, as non-eligible candidates will not receive a fee refund.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships to support students from economically weaker sections. These scholarships are promoted by the Chairman, Mr. Dhan Singh Bhadana, as part of his vision to facilitate their participation and development in society. For more information, please visit our official website or contact the admission office.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate courses in engineering, computer applications, and business administration. These include B.Tech in Computer Science, Electronics & Communication, Mechanical, and Civil Engineering; BCA; BBA; and MBA. Specializations in BCA and BBA are also available.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships and awards to support needy and economically weaker students. These include schemes promoted by the Chairman, Mr. Dhan Singh Bhadana, as part of his vision to facilitate their participation and development in society.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"Aravali College of Engineering and Management is located in Neharpar Faridabad, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM college is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar Faridabad, Faridabad, Haryana 121102. For directions, you can use this Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, first register and call on +91-8527538785. Fill out the prescribed Admission Application Form, attach necessary testimonials in original and two photocopies along with six passport size photographs. Submit the application form and documents before August 15th each year. Ensure eligibility before applying, as the institute will not be responsible for cancellation of admission or refund of fees in case of non-eligibility.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in various fields. The undergraduate courses include B.Tech in Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, and Civil Engineering. Additionally, ACEM provides BCA, BBA with specializations in General, Data Science, Finance Services and Banking, and Digital Marketing. For postgraduates, there is an MBA program available.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM college offers various scholarships to support economically disadvantaged students. These awards include schemes from Hindustan Aeronautics Limited (HAL), Indian Oil Corporation (IOCL), and other prominent organizations. Please visit the official college website or contact the admission office for detailed information.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, first register and call on +91-8527538785. Fill out the Admission Application Form, attach necessary testimonials in original and two photocopies along with six passport size photographs. Submit the application form and documents before August 15th each year. Ensure you meet the eligibility criteria for your chosen course.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering, management, and computer applications. These include B.Tech in Computer Science, Electronics & Communication, Mechanical, and Civil Engineering; BCA in General and Data Science; BBA in General, Finance Services & Banking, and Digital Marketing; and MBA.","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement by offering a minimum of 3 opportunities to each eligible student. Our strong collaboration with international universities and focus on live projects ensures our students are well-prepared for their professional careers. For detailed placement statistics, please visit our placement webpage.","[0.9, 0.9, 0.9, 0.9]"
Top placement companies that visit college,"ACEM college has a strong placement record with top companies visiting for recruitment, including Genpact, Wipro, TCS, and Capgemini. These companies offer diverse opportunities in fields such as engineering, management, and computer science. Our commitment to student success ensures a high placement rate year after year.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM college offers various scholarships to support economically disadvantaged students. These awards facilitate their participation and development in society. Some notable organizations associated with our scholarship programs include Hindustan Aeronautics Limited (HAL), Indian Oil Corporation (IOCL), and Steel Authority of India Limited (SAIL), among others.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM college offers various scholarships to support needy and economically weaker students. These scholarships are promoted by the Chairman, Mr. Dhan Singh Bhadana, as part of his vision to facilitate their participation and development in society.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering and management. The courses include B.Tech in Computer Science, Electronics & Communication, Mechanical, and Civil Engineering; BCA in General and Data Science; BBA in General, Finance Services & Banking, and Digital Marketing; and MBA.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering and management. The courses include B.Tech in Computer Science, Mechanical, Electronics & Communication, and Civil Engineering; BCA in General and Data Science; BBA in General, Finance Services & Banking, and Digital Marketing; and MBA.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM college offers various scholarships to support needy and economically weaker students. These awards and schemes are part of the chairman's vision to facilitate their participation and development in society. Some notable organizations that have collaborated with the college for placements include HAL, IOCL, IRCON, ONGC, and many more.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM college is located at ARAVALI COLLEGE OF ENGINEERING AND MANAGEMENT, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
Hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
I want to know about the college,"ACEM, established in 2008, is a renowned institution in Faridabad, Delhi NCR, offering undergraduate and postgraduate programs in engineering and management. The college focuses on academic excellence, research, and value-added courses to develop competent professionals with strong personalities. It also has an active placement cell to ensure students secure job offers before graduation.

You can find more information [here](https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar+Faridabad,+Faridabad,+Haryana+121102).","[0.9, 0.9, 0.9, 0.9]"
What are the placement statistics?,"ACEM guarantees 100% placement by providing a minimum of 3 opportunities to each eligible student. Our outstanding placement record in Delhi/NCR is recognized with prestigious awards. Visit our ""Placement"" section for detailed statistics.","[0.9, 0.9, 0.9, 0.9]"
name some students who are placed in 2024,"Here are some students placed in 2024:

1. Akshay Joshi - CSE, Package: 120000/-
2. Shivam Jha - CSE, Package: 180000/-
3. Gunjan - CSE, Package: 240000/-
4. Siddharth Joshi - CSE, Package: 120000/-
5. Keshav - CSE, Package: 240000/-
6. Shipra Dutt Sharma - CSE, Package: Intern
7. Satyaveer - CSE, Package: Intern
8. Deepti Sharma - CSE, Package: Intern
9. Ravneet - CSE, Package: Intern
10. Deepika Bajaj - CSE(AIML), Package: 380000/-","[0.9, 0.9, 0.9, 0.9]"
compare CSE AND AIML,"CSE (Computer Science & Engineering) provides a broad foundation in computer science, while AIML (Artificial Intelligence & Machine Learning) focuses specifically on AI and ML technologies. AIML is a subset of CSE, offering in-depth knowledge in areas like neural networks, deep learning, and natural language processing.","[0.9, 0.9, 0.9, 0.9]"
Compare CSE and AIML programs,"The CSE program offers a broad foundation in computer science, while the AIML program focuses specifically on artificial intelligence and machine learning. AIML students will delve deeper into topics such as neural networks, deep learning, and natural language processing, making it ideal for those interested in AI research or development.","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"ACEM offers undergraduate and postgraduate programs in engineering, management, and computer applications. These include B.Tech in Computer Science, Mechanical, Electronics & Communication, and Civil Engineering; BCA in General and Data Science; BBA in General, Finance Services & Banking, and Digital Marketing; and MBA.","[0.9, 0.9, 0.9, 0.9]"
What is the admission process?,"To apply for admission at ACEM College, first register and call on +91-8527538785. Fill out the Admission Application Form and attach necessary testimonials along with six passport size photographs. Submit the application form and documents before August 15th each year. Ensure you meet the eligibility criteria for your desired course.","[0.9, 0.9, 0.9, 0.9]"
fees aiml,"For the AIML course in the academic year 2025-26, the fees are as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,15,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"The fee for the B.Tech AIML course at ACEM college is not explicitly mentioned in the provided context. However, if you're asking about the general fee structure, it includes a course fee, university charges, and a refundable security fee. For specific amounts, please contact the college directly.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"ACEM College is located at Aravali College of Engineering and Management, Jasana, Tigaon Rd, Neharpar, Faridabad, Haryana 121102. For directions, please visit our official Google Maps link: https://www.google.com/maps?q=ARAVALI+COLLEGE+OF+ENGINEERING+AND+MANAGEMENT,+Jasana,+Tigaon+Rd,+Neharpar,+Faridabad,+Haryana+121102","[0.9, 0.9, 0.9, 0.9]"
fees aiml,"The fees for the B.Tech AIML course at ACEM college are as follows:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,15,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
principal of ACEM,"The principal of ACEM is Mr. Bhadana, who is committed to providing quality education that transforms students into responsible, self-reliant, and confident citizens. His vision is to enable students to succeed and excel in their chosen fields of career progression.","[0.9, 0.9, 0.9, 0.9]"
fees of civil,"Here are the fees for the B.Tech Civil Engineering program at ACEM college:

📗Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,00,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

🏠 Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

🚌 Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of college,"Here are the fees for ACEM college, based on the information you provided:

Academic Fees (B.Tech - Mechanical Engineering):

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,00,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |

Please note that these fees pertain to the academic year 2025-26 and are subject to change.","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers various scholarships to support economically disadvantaged students. These awards are part of the Chairman's vision to facilitate participation and development in society. For more information, please contact the college directly at +91-8527538785.","[0.9, 0.9, 0.9, 0.9]"
fees of aiml,"The fee structure for the B.Tech AIML program at ACEM college is as follows:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹1,00,000 |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Hostel and transport fees are separate and vary based on the student's preferences and location. For more details, please visit our website or contact the admissions office.","[0.9, 0.9, 0.9, 0.9]"
fees of bba,"Here are the BBA fees for the academic year 2025-26:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | ₹65,000   |
| 2.    | University Charges (Variable)          | ₹8,500    |
| 3.    | Security Fee (Refundable, Variable)    | ₹4,000    |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | ₹80,000 |
| 2.    | Hostel Fee NON-AC           | ₹65,000 |
| 3.    | Security Fee (Refundable)   | ₹4,000  |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of mechanical,"Academic Fees for B.Tech Mechanical Engineering:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | 100,000/-  |
| 2.    | University Charges (Variable)          | 8,500/-    |
| 3.    | Security Fee (Refundable, Variable)    | 4,000/-    |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | 80,000/-|
| 2.    | Hostel Fee NON-AC           | 65,000/-|
| 3.    | Security Fee (Refundable)   | 4,000/- |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of bba,"Here are the BBA fees for the academic year 2025-26:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | 65,000/-   |
| 2.    | University Charges (Variable)          | 8,500/-    |
| 3.    | Security Fee (Refundable, Variable)    | 4,000/-    |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | 80,000/-|
| 2.    | Hostel Fee NON-AC           | 65,000/-|
| 3.    | Security Fee (Refundable)   | 4,000/- |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
fees of bba,"Here are the BBA fees for the academic year 2025-26:

Academic Fees:

| SR.NO | FEE HEAD                              | FEE        |
|-------|----------------------------------------|-----------|
| 1.    | Course Fee                             | 65,000/-   |
| 2.    | University Charges (Variable)          | 8,500/-    |
| 3.    | Security Fee (Refundable, Variable)    | 4,000/-    |

Hostel Fee:

| SR.NO | FEE HEAD                    | FEE     |
|-------|-----------------------------|---------|
| 1.    | Hostel Fee AC               | 80,000/-|
| 2.    | Hostel Fee NON-AC           | 65,000/-|
| 3.    | Security Fee (Refundable)   | 4,000/- |

Transport Fee:

| SR.NO | FEE HEAD      | FEE             |
|-------|---------------|-----------------|
| 1.    | Transport Fee | As per location |","[0.9, 0.9, 0.9, 0.9]"
